id,uuid,response,latitude,longitude,displayed_at_UTC,recorded_at_UTC,prompt_num,displayed_at_epoch,recorded_at_epoch
1,A,Bicycle,43.6451376,-79.4360719,2017-09-14T21:27:00-04:00,2017-09-15T01:14:26-04:00,1,1505438820,1505452466
2,A,Returning home,43.6451376,-79.4360719,2017-09-14T21:27:00-04:00,2017-09-15T01:14:26-04:00,2,1505438820,1505452466
3,A,Bicycle,43.6451499,-79.4361049,2017-09-11T18:06:59-04:00,2017-09-11T21:57:47-04:00,1,1505167619,1505181467
4,A,Returning home,43.6451499,-79.4361049,2017-09-11T18:06:59-04:00,2017-09-11T21:57:47-04:00,2,1505167619,1505181467
5,A,Walk,43.6495977,-79.43927,2017-09-09T13:31:52-04:00,2017-09-09T17:00:59-04:00,1,1504978312,1504990859
6,A,Other shopping,43.6495977,-79.43927,2017-09-09T13:31:52-04:00,2017-09-09T17:00:59-04:00,2,1504978312,1504990859
7,A,Bicycle,43.6451376,-79.4360719,2017-09-13T19:46:59-04:00,2017-09-14T01:08:37-04:00,1,1505346419,1505365717
8,A,Returning home,43.6451376,-79.4360719,2017-09-13T19:46:59-04:00,2017-09-14T01:08:37-04:00,2,1505346419,1505365717
9,A,Public transit,43.6450278,-79.4157044,2017-09-12T21:31:58-04:00,2017-09-13T03:00:06-04:00,1,1505266318,1505286006
10,A,Returning home,43.6450278,-79.4157044,2017-09-12T21:31:58-04:00,2017-09-13T03:00:06-04:00,2,1505266318,1505286006
11,A,Car + Public transit,43.6690111,-79.431181,2017-09-10T00:01:56-04:00,2017-09-10T05:02:02-04:00,1,1505016116,1505034122
12,A,Returning home,43.6690111,-79.431181,2017-09-10T00:01:56-04:00,2017-09-10T05:02:02-04:00,2,1505016116,1505034122
13,A,Public transit,43.6630499,-79.3992797,2017-09-15T10:06:59-04:00,2017-09-15T10:41:51-04:00,1,1505484419,1505486511
14,A,School-related,43.6630499,-79.3992797,2017-09-15T10:06:59-04:00,2017-09-15T10:41:51-04:00,2,1505484419,1505486511
