user_id,sequence,location_id,mode,unknown,local_start_time,unix_start_time
A,1,2,,TRUE,,
A,2,,walk,,2017-09-08 17:26:00,1504905960
A,3,1,,,2017-09-08 17:32:00,1504906320
A,4,,walk/bike,,2017-09-08 20:44:00,1504917840
A,5,3,,,2017-09-08 21:18:00,1504919880
A,6,,walk,,2017-09-09 12:40:00,1504975200
A,7,16,,,2017-09-09 12:47:00,1504975620
A,8,,walk,,2017-09-09 13:01:00,1504976460
A,9,3,,,2017-09-09 13:14:00,1504977240
A,10,,bike,,2017-09-09 14:45:00,1504982700
A,11,14,,,2017-09-09 15:00:00,1504983600
A,12,,bike,,2017-09-09 15:22:00,1504984920
A,13,3,,,2017-09-09 15:33:00,1504985580
A,14,,walk/bus/subway/streetcar/walk,,2017-09-09 17:30:00,1504992600
A,15,6,,,2017-09-09 18:25:00,1504995900
A,16,,car/walk/streetcar/walk,,2017-09-09 22:30:00,1505010600
A,17,3,,,2017-09-09 23:32:00,1505014320
A,18,,walk,,2017-09-10 08:49:00,1505047740
A,19,13,,,2017-09-10 09:01:00,1505048460
A,20,,walk,,2017-09-10 09:09:00,1505048940
A,21,17,,,2017-09-10 09:17:00,1505049420
A,22,,walk,,2017-09-10 09:19:00,1505049540
A,23,3,,,2017-09-10 09:40:00,1505050800
A,24,,bike,,2017-09-10 12:01:00,1505059260
A,25,11,,,2017-09-10 12:30:00,1505061000
A,26,,bike,,2017-09-10 12:40:00,1505061600
A,27,10,,,2017-09-10 13:05:00,1505063100
A,28,,bike,,2017-09-10 13:24:00,1505064240
A,29,3,,,2017-09-10 13:36:00,1505064960
A,30,,walk/bus/streetcar/walk,,2017-09-10 14:10:00,1505067000
A,31,12,,,2017-09-10 14:45:00,1505069100
A,32,,walk/streetcar/bus/walk,,2017-09-10 15:30:00,1505071800
A,33,3,,,2017-09-10 16:05:00,1505073900
A,34,,bike,,2017-09-11 09:05:00,1505135100
A,35,18,,,2017-09-11 09:18:00,1505135880
A,36,,bike,,2017-09-11 10:44:00,1505141040
A,37,8,,,2017-09-11 10:45:00,1505141100
A,38,,bike,,2017-09-11 10:49:00,1505141340
A,39,2,,,2017-09-11 10:57:00,1505141820
A,40,,bike,,2017-09-11 17:15:00,1505164500
A,41,15,,,2017-09-11 17:25:00,1505165100
A,42,,bike,,2017-09-11 17:35:00,1505165700
A,43,3,,,2017-09-11 17:53:00,1505166780
A,44,,walk/bus/subway/bus/walk,,2017-09-11 12:00:00,1505145600
A,45,5,,,2017-09-12 13:26:00,1505237160
A,46,,,TRUE,2017-09-12 15:34:00,1505244840
A,47,3,,,2017-09-12 21:39:00,1505266740
A,48,,bike,,2017-09-13 08:35:00,1505306100
A,49,2,,,2017-09-13 08:53:00,1505307180
A,50,,bike,,2017-09-13 18:50:00,1505343000
A,51,9,,,2017-09-13 19:00:00,1505343600
A,52,,bike,,2017-09-13 19:12:00,1505344320
A,53,3,,,2017-09-13 19:31:00,1505345460
A,54,,bike,,2017-09-14 12:15:00,1505405700
A,55,18,,,2017-09-14 12:33:00,1505406780
A,56,,bike,,2017-09-14 14:10:00,1505412600
A,57,2,,,2017-09-14 14:16:00,1505412960
A,58,,walk,,2017-09-14 17:53:00,1505425980
A,59,19,,,2017-09-14 18:07:00,1505426820
A,60,,walk,,2017-09-14 19:00:00,1505430000
A,61,2,,,2017-09-14 19:13:00,1505430780
A,62,,bike,,2017-09-14 20:55:00,1505436900
A,63,3,,,2017-09-14 21:16:00,1505438160
A,64,,walk/bus/subway/walk,,2017-09-15 09:32:00,1505482320
A,65,3,,,2017-09-15 10:02:00,1505484120
A,66,,walk,,2017-09-15 12:50:00,1505494200
A,67,20,,,2017-09-15 12:59:00,1505494740
A,68,,walk,,2017-09-15 14:15:00,1505499300
A,69,2,,,2017-09-15 14:28:00,1505500080
A,70,,walk,,2017-09-15 17:54:00,1505512440
A,71,21,,,2017-09-15 18:02:00,1505512920
A,72,,walk,,2017-09-15 18:08:00,1505513280
A,73,2,,,2017-09-15 18:15:00,1505513700
A,74,,walk,,2017-09-15 19:15:00,1505517300
A,75,4,,,2017-09-15 19:34:00,1505518440
A,76,,subway/bus/walk,,2017-09-15 22:00:00,1505527200
A,77,3,,,2017-09-15 22:45:00,1505529900
A,78,,,TRUE,2017-09-15 22:50:00,1505530200
B,1,,,TRUE,,
B,2,1,,,2018-05-23 07:22:00,1527074520
B,3,,walk,,2018-05-23 07:45:00,1527075900
B,4,2,,,2018-05-23 08:08:00,1527077280
B,5,,walk,,2018-05-23 14:45:00,1527101100
B,6,3,,,2018-05-23 14:51:00,1527101460
B,7,,walk,,2018-05-23 15:50:00,1527105000
B,8,2,,,2018-05-23 03:54:00,1527062040
B,9,,walk,,2018-05-23 16:40:00,1527108000
B,10,4,,,2018-05-23 16:50:00,1527108600
B,11,,walk,,2018-05-23 18:10:00,1527113400
B,12,1,,,2018-05-23 18:30:00,1527114600
B,13,,walk,,2018-05-23 19:05:00,1527116700
B,14,5,,,2018-05-23 19:12:00,1527117120
B,15,,walk,,2018-05-23 19:19:00,1527117540
B,16,6,,,2018-05-23 19:23:00,1527117780
B,17,,walk,,2018-05-23 19:27:00,1527118020
B,18,7,,,2018-05-23 19:28:00,1527118080
B,19,,walk,,2018-05-23 19:32:00,1527118320
B,20,8,,,2018-05-23 19:33:00,1527118380
B,21,,walk,,2018-05-23 19:45:00,1527119100
B,22,,,TRUE,2018-05-23 19:46:00,1527119160
B,23,,walk,,2018-05-24 13:42:00,1527183720
B,24,9,,,2018-05-24 14:05:00,1527185100
B,25,,walk,,2018-05-24 14:12:00,1527185520
B,26,1,,,2018-05-24 14:16:00,1527185760
