user_id,location_id,lon,lat,description,used
A,1,-79.4003622272,43.6606052465,,True
A,2,-79.3987775101,43.6624226937,work/school,True
A,3,-79.436514092,43.6454885514,home,True
A,4,-79.386777,43.664239,,True
A,5,-79.1878728342,43.7844819634,,True
A,6,-79.348686397,43.66907725,,True
A,8,-79.402566374,43.6554348384,,True
A,9,-79.3973206083,43.6521774363,,True
A,10,-79.3985619594,43.6526514573,,True
A,11,-79.4635024534,43.6652885672,,True
A,12,-79.4716888014,43.67477828,,True
A,13,-79.4367491002,43.6368766231,,True
A,14,-79.4423557739,43.6349203837,,True
A,16,-79.4340739673,43.6409393933,,True
A,17,-79.4268615779,43.6391884872,,True
A,18,-79.4069574982,43.6567302446,,True
A,15,-79.4163193914,43.6638467672,,True
A,19,-79.3973536212,43.6691567381,,True
A,20,-79.405938434,43.6663610528,,True
A,21,-79.4033410445,43.6650715016,,True
B,1,-79.3935095878,43.6464501386,home,True
B,2,-79.3987547345,43.6625103016,work,True
B,3,-79.39453415,43.6639041609,,True
B,4,-79.3947678987,43.6587236449,,True
B,5,-79.3970114496,43.6451965666,,True
B,6,-79.3953948696,43.645142819,,True
B,7,-79.3938744106,43.645556991,,True
B,8,-79.3948006672,43.64577198,,True
B,9,-79.3941234513,43.6481020315,,True
B,10,-79.3951170654,43.6464988794,,True
B,11,-79.3826329901,43.638640839,,True
B,12,-79.3888167726,43.6501851433,,True
B,13,-79.3914644685,43.6524170251,,True
B,14,-79.3953712034,43.6455425003,,True
B,15,-79.4018986913,43.64746262,,True
B,16,-79.3986087325,43.6463128741,,True
B,17,-73.5666100224,45.5183013662,,True
B,18,-73.5693654903,45.5179686962,,True
B,19,-73.5727005967,45.519470798,,True
B,20,-73.5549983177,45.5107004874,,True
B,21,-73.571027218,45.5096410998,,True
C,1,-79.3486826258,43.6689507042,home,True
C,2,-79.3523585248,43.6703833911,,True
C,3,-79.3474430906,43.6655276961,,True
C,4,-79.4124560267,43.704276726,,True
C,5,-79.3708026222,43.6965232487,,True
C,6,-79.3938349483,43.7440145409,,True
C,7,-79.3503442043,43.6658588066,,True
C,8,-79.3943078919,43.660199983,,True
C,9,-79.3854049287,43.650231515,,True
